bonus|defPlayer1|defPlayersOnCourt|defTeam|gameEvent|gameId|gameType|isCharge|isPutback|neutralFloor|offPlayer1|offPlayer2|offPlayersOnCourt|offTeam|segment|shotType|shotValue|team0|team1|turnoverType|valueToAdd|violationType|x|y
|1630528|1628021,1629645,1630227,1630224,1630528|1610612745|STEAL|1|time|||false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745|LOST_BALL|1|||
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_ATTEMPT|1|time||false|false|1629645||1628021,1629645,1630227,1630224,1630528|1610612745||LONG_MID_RANGE|2|1610612761|1610612745||||-138|125
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_MADE|1|time||false|false|1629645|1630227|1628021,1629645,1630227,1630224,1630528|1610612745||LONG_MID_RANGE|2|1610612761|1610612745||2||-138|125
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1627783||1627783,1629018,1630551,1629004,1630625|1610612761||LONG_MID_RANGE|2|1610612761|1610612745||||-121|9
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MISS|1|time|||false|1627783||1627783,1629018,1630551,1629004,1630625|1610612761||LONG_MID_RANGE|2|1610612761|1610612745||||-121|9
||1628021,1629645,1630227,1630224,1630528|1610612745|DEFENSIVE_REBOUND|1|time|||false|||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745||1|||
||1627783,1629018,1630551,1629004,1630625|1610612761|3FG_ATTEMPT|1|time||false|false|1630528||1628021,1629645,1630227,1630224,1630528|1610612745||CORNER_3|3|1610612761|1610612745||||229|48
||1627783,1629018,1630551,1629004,1630625|1610612761|3FG_MISS|1|time|||false|1630528||1628021,1629645,1630227,1630224,1630528|1610612745||CORNER_3|3|1610612761|1610612745||||229|48
||1627783,1629018,1630551,1629004,1630625|1610612761|OFFENSIVE_REBOUND|1|time|||false|||1628021,1629645,1630227,1630224,1630528|1610612745||||1610612761|1610612745||1|||
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_ATTEMPT|1|time||false|false|1628021||1628021,1629645,1630227,1630224,1630528|1610612745||SHORT_MID_RANGE|2|1610612761|1610612745||||-70|46
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_MADE|1|time||false|false|1628021||1628021,1629645,1630227,1630224,1630528|1610612745||SHORT_MID_RANGE|2|1610612761|1610612745||2||-70|46
||1628021,1629645,1630227,1630224,1630528|1610612745|OFFENSIVE_FOUL|1|time|false||false|1627783||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745|||||
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_ATTEMPT|1|time||false|false|1630528||1628021,1629645,1630227,1630224,1630528|1610612745||AT_RIM|2|1610612761|1610612745||||3|0
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_MADE|1|time||false|false|1630528|1628021|1628021,1629645,1630227,1630224,1630528|1610612745||AT_RIM|2|1610612761|1610612745||2||3|0
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||AT_RIM|2|1610612761|1610612745||||0|27
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MADE|1|time||false|false|1630625|1630551|1627783,1629018,1630551,1629004,1630625|1610612761||AT_RIM|2|1610612761|1610612745||2||0|27
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_ATTEMPT|1|time||false|false|1630224||1628021,1629645,1630227,1630224,1630528|1610612745||LONG_MID_RANGE|2|1610612761|1610612745||||-138|231
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_MISS|1|time|||false|1630224||1628021,1629645,1630227,1630224,1630528|1610612745||LONG_MID_RANGE|2|1610612761|1610612745||||-138|231
